time_iso8601,stars_cumulative
2024-06-05 00:00:00+00:00,1
2024-07-08 00:00:00+00:00,2
2024-07-20 00:00:00+00:00,3
2024-08-01 00:00:00+00:00,4
2024-09-17 00:00:00+00:00,5
2024-09-20 00:00:00+00:00,6
2024-09-29 00:00:00+00:00,7
2024-10-01 00:00:00+00:00,8
2024-10-03 00:00:00+00:00,9
2024-10-18 00:00:00+00:00,10
2024-10-21 00:00:00+00:00,11
2024-11-06 00:00:00+00:00,12
2024-11-20 00:00:00+00:00,13
2024-11-27 00:00:00+00:00,14
2024-11-28 00:00:00+00:00,15
2025-01-05 00:00:00+00:00,16
2025-01-15 00:00:00+00:00,17
2025-01-31 00:00:00+00:00,18
2025-02-01 00:00:00+00:00,19
2025-02-18 00:00:00+00:00,20
2025-03-05 00:00:00+00:00,21
