time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,0,0,41,11
2025-02-28 00:00:00+00:00,0,0,106,19
2025-03-01 00:00:00+00:00,0,0,20,7
2025-03-02 00:00:00+00:00,1,1,23,5
2025-03-03 00:00:00+00:00,2,2,86,15
2025-03-04 00:00:00+00:00,0,0,54,18
2025-03-05 00:00:00+00:00,0,0,86,22
2025-03-06 00:00:00+00:00,2,2,32,17
2025-03-07 00:00:00+00:00,1,1,44,13
2025-03-08 00:00:00+00:00,0,0,32,10
2025-03-09 00:00:00+00:00,0,0,38,11
2025-03-10 00:00:00+00:00,4,4,53,21
2025-03-11 00:00:00+00:00,1,1,81,15
2025-03-12 00:00:00+00:00,0,0,26,14
2025-03-13 00:00:00+00:00,1,1,61,13
2025-03-14 00:00:00+00:00,0,0,42,17
2025-03-15 00:00:00+00:00,1,1,9,5
2025-03-16 00:00:00+00:00,1,1,21,10
2025-03-17 00:00:00+00:00,0,0,43,13
